date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:33	27052/27052	---M--	200	added ('OK')	application/x-font-woff	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/fonts/gt-walsheim-bold.woff	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/fonts/gt-walsheim-bold.woff	(from https://www.maman-corp.com/assets/css/main.css)
11:04:33	19724/19724	---M--	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/fonts/gt-walsheim-medium.woff2	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/fonts/gt-walsheim-medium.html	(from https://www.maman-corp.com/assets/css/main.css)
11:04:33	25096/25096	---M--	200	added ('OK')	application/x-font-woff	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/fonts/gt-walsheim-medium.woff	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/fonts/gt-walsheim-medium.woff	(from https://www.maman-corp.com/assets/css/main.css)
11:04:33	19952/19952	---M--	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/fonts/roboto-medium.woff2	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/fonts/roboto-medium.html	(from https://www.maman-corp.com/assets/css/main.css)
11:04:34	26292/26292	---M--	200	added ('OK')	application/x-font-woff	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/fonts/roboto-medium.woff	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/fonts/roboto-medium.woff	(from https://www.maman-corp.com/assets/css/main.css)
11:04:34	19836/19836	---M--	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/fonts/roboto-regular.woff2	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/fonts/roboto-regular.html	(from https://www.maman-corp.com/assets/css/main.css)
11:04:34	26156/26156	---M--	200	added ('OK')	application/x-font-woff	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/fonts/roboto-regular.woff	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/fonts/roboto-regular.woff	(from https://www.maman-corp.com/assets/css/main.css)
11:04:34	2996/2996	---M--	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/fonts/montserrat-bold.woff2	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/fonts/montserrat-bold.html	(from https://www.maman-corp.com/assets/css/main.css)
11:04:35	3928/3928	---M--	200	added ('OK')	application/x-font-woff	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/fonts/montserrat-bold.woff	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/fonts/montserrat-bold.woff	(from https://www.maman-corp.com/assets/css/main.css)
11:04:35	1026089/1026089	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/img/home-landing.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/home-landing.jpg	(from https://www.maman-corp.com/assets/css/main.css)
